Data,Brand,Device name,Base price,Discout,Bonus,Gift_Details,Gift_value
06/02/2023,Samsung,Телефон сотовый SAMSUNG SM S 908 Galaxy S22 Ultra 5G 512GB BZKHS (Black),849890,599890,5998,"['Смарт часы SAMSUNG Galaxy Watch4 Classic 46mm Black (SM-R890NZKACIS)', 'Наушники для телефона SAMSUNG Galaxy Buds2 Pro (purple)', 'Наушники для телефона SAMSUNG Galaxy Buds2 Pro (gray)', 'Наушники для телефона SAMSUNG Galaxy Buds2 Pro (white)']","[219890, 119990, 119990, 119990]"
06/02/2023,Xiaomi,Телефон сотовый XIAOMI Redmi Note 11S 6/128GB Graphite Gray,139990,119990,1199
06/02/2023,Samsung,Телефон сотовый SAMSUNG SM G 991 Galaxy S21 128GB BZADS (Gray),409890,229990,2299
06/02/2023,Apple,Телефон сотовый APPLE iPhone 13 Pro Max 256GB Alpine Green,779990,749990,7499
06/02/2023,Realme,Телефон сотовый REALME C30 (2/32GB) Black,64990,49990,4999
06/02/2023,Samsung,Телефон сотовый SAMSUNG SM A 135 Galaxy A13 128GB FZKKS (black),139890,99990,9999
06/02/2023,Apple,Телефон сотовый APPLE iPhone 13 Pro 256GB Gold,709990,709990,14199
06/02/2023,Samsung,Телефон сотовый SAMSUNG SM A 736 Galaxy A73 5G 8/256GB BLGHS (Green),339890,239890,23989
06/02/2023,Samsung,Телефон сотовый SAMSUNG SM F 721 Galaxy Z Flip 4 5G 128GB (Lavender),549890,549890,10997,"['Смарт часы SAMSUNG Galaxy Watch4 Classic 46mm Black (SM-R890NZKACIS)', 'Наушники для телефона SAMSUNG Galaxy Buds2 Pro (purple)', 'Наушники для телефона SAMSUNG Galaxy Buds2 Pro (gray)', 'Наушники для телефона SAMSUNG Galaxy Buds2 Pro (white)']","[219890, 119990, 119990, 119990]"
06/02/2023,Apple,Телефон сотовый APPLE iPhone 13 128GB Pink,529990,409990,4099
06/02/2023,OPPO,Телефон сотовый OPPO A17 4/64GB Midnight Black,84990,84990,8499,['Чехол для телефона OPPO A17 Silicone Cover Transparent'],[990]
06/02/2023,Apple,Телефон сотовый APPLE iPhone 11 128GB (Purple) ECO,339990,309990,15500
06/02/2023,OPPO,Телефон сотовый OPPO A55 4/64GB Starry Black,119990,119990,11999
06/02/2023,Samsung,Телефон сотовый SAMSUNG SM F 936 Galaxy Z Fold 4 5G 512GB (Gray),1099890,1099890,21997,"['Смарт часы SAMSUNG Galaxy Watch4 Classic 46mm Black (SM-R890NZKACIS)', 'Наушники для телефона SAMSUNG Galaxy Buds2 Pro (purple)', 'Наушники для телефона SAMSUNG Galaxy Buds2 Pro (gray)', 'Наушники для телефона SAMSUNG Galaxy Buds2 Pro (white)']","[219890, 119990, 119990, 119990]"
06/02/2023,Xiaomi,Телефон сотовый XIAOMI Mi 11 8/256GB Midnight Gray,339990,339990,6799
06/02/2023,Apple,Телефон сотовый APPLE iPhone 13 Pro Max 256GB Gold,779990,749990,7499
06/02/2023,Apple,Телефон сотовый APPLE iPhone 14 Pro 256GB (Space Black),769990,729990,36500
06/02/2023,Vivo,Телефон сотовый VIVO Y55 8/128GB Ice Dawn (V2154),159990,139990,13999,"['Смарт часы Zeblaze Btalk Smart Watch 44 mm Green / Зеленый', 'Смарт часы Zeblaze Btalk Smart Watch 44 mm Orange / Оранжевый', 'Подарок VIVO 4813635 Plactic Mobile Phone Holder Держатель Смартфона', 'Подарок VIVO 4813636 Bluetooth Speaker Динамик Bluetooth', 'Подарок VIVO 4813637 Gift Box Подарочная Коробка']","[29990, 29990, 0, 0, 0]"
06/02/2023,HONOR,Телефон сотовый HONOR X5 (2/32GB) Ocean Blue,59990,49990,4999
06/02/2023,POCO,Телефон сотовый POCO F3 8/256GB Night Black,239990,239990,4799
06/02/2023,Samsung,Телефон сотовый SAMSUNG SM A 235 Galaxy A23 128GB FZOKS (Orange),169890,119890,11989
06/02/2023,Vivo,Телефон сотовый VIVO V23e 8/128GB Dancing Waves (V2116),189990,124990,1249,"['Подарок VIVO 4813635 Plactic Mobile Phone Holder Держатель Смартфона', 'Подарок VIVO 4813636 Bluetooth Speaker Динамик Bluetooth', 'Подарок VIVO 4813637 Gift Box Подарочная Коробка']","[0, 0, 0]"
06/02/2023,Apple,Телефон сотовый APPLE iPhone 11 64GB (Purple) ECO,299990,269990,13500
06/02/2023,OPPO,Телефон сотовый OPPO RENO 7 (8/128GB) Cosmic Black,219990,219990,21999
06/02/2023,HONOR,Телефон сотовый HONOR X6 (4/64GB) Midnight Black,89990,79990,7999
06/02/2023,HONOR,Телефон сотовый HONOR X7 (4/128GB) Midnight Black,119990,119990,11999
06/02/2023,Samsung,Телефон сотовый SAMSUNG SM A 035 Galaxy A03 32GB FZKDS (Black),69890,69890,6989
06/02/2023,Samsung,Телефон сотовый SAMSUNG SM S 908 Galaxy S22 Ultra 5G 256GB BZWGS (White),749890,579890,5798,"['Смарт часы SAMSUNG Galaxy Watch4 Classic 46mm Black (SM-R890NZKACIS)', 'Наушники для телефона SAMSUNG Galaxy Buds2 Pro (purple)', 'Наушники для телефона SAMSUNG Galaxy Buds2 Pro (gray)', 'Наушники для телефона SAMSUNG Galaxy Buds2 Pro (white)']","[219890, 119990, 119990, 119990]"
06/02/2023,Xiaomi,Телефон сотовый XIAOMI Redmi 10C 4/128GB Graphite Gray,84990,74990,749
06/02/2023,Xiaomi,Телефон сотовый XIAOMI Redmi 10C 4/128GB Mint Green,84990,74990,749
06/02/2023,Apple,Телефон сотовый APPLE iPhone 13 Pro 256GB Graphite,709990,679990,6799
06/02/2023,Apple,Телефон сотовый APPLE iPhone 12 128GB (Purple),449990,414990,4149
06/02/2023,OPPO,Телефон сотовый OPPO RENO 7 (8/128GB) Sunset Orange,219990,219990,21999
06/02/2023,Samsung,Телефон сотовый SAMSUNG SM F 711 Galaxy Z Flip 3 256GB (NEW) (Black),579890,319990,3199
06/02/2023,Xiaomi,Телефон сотовый XIAOMI Redmi A1+ 2/32GB Black,49990,49990,999
06/02/2023,Apple,Телефон сотовый APPLE iPhone 14 Plus 256GB (Blue),699990,629990,31500
06/02/2023,Apple,Телефон сотовый APPLE iPhone 14 256GB (Midnight),629990,549990,27500
06/02/2023,Samsung,Телефон сотовый SAMSUNG SM A 235 Galaxy A23 128GB FZWKS (White),169890,119890,11989
06/02/2023,Samsung,Телефон сотовый SAMSUNG SM A 736 Galaxy A73 5G 6/128GB BLGDS (Green),299890,219890,21989
06/02/2023,Apple,Телефон сотовый APPLE iPhone 13 mini 128GB Starlight,414990,379990,3799
06/02/2023,iXXi,Телефон сотовый IXXI J7 8/128GB Black,219990,219990,21999
06/02/2023,Samsung,Телефон сотовый SAMSUNG SM S 908 Galaxy S22 Ultra 5G 128GB BDRDS (Red),699890,549890,5498,"['Смарт часы SAMSUNG Galaxy Watch4 Classic 46mm Black (SM-R890NZKACIS)', 'Наушники для телефона SAMSUNG Galaxy Buds2 Pro (purple)', 'Наушники для телефона SAMSUNG Galaxy Buds2 Pro (gray)', 'Наушники для телефона SAMSUNG Galaxy Buds2 Pro (white)']","[219890, 119990, 119990, 119990]"
06/02/2023,Huawei,Телефон сотовый HUAWEI Nova 9 SE 8/128GB (Голубой кристалл) (JLN-LX1),189890,139890,13989
06/02/2023,iXXi,Телефон сотовый IXXI J2 4/64GB Black,99990,99990,9999
06/02/2023,Samsung,Телефон сотовый SAMSUNG SM S 908 Galaxy S22 Ultra 5G 256GB BDRGS (Red),749890,579890,5798,"['Смарт часы SAMSUNG Galaxy Watch4 Classic 46mm Black (SM-R890NZKACIS)', 'Наушники для телефона SAMSUNG Galaxy Buds2 Pro (purple)', 'Наушники для телефона SAMSUNG Galaxy Buds2 Pro (gray)', 'Наушники для телефона SAMSUNG Galaxy Buds2 Pro (white)']","[219890, 119990, 119990, 119990]"
06/02/2023,Xiaomi,Телефон сотовый XIAOMI 12 Pro 12/256GB Blue,549990,449990,44999
06/02/2023,Samsung,Телефон сотовый SAMSUNG SM A 135 Galaxy A13 128GB FLBKS (blue),139890,99990,9999
06/02/2023,OPPO,Телефон сотовый OPPO A96 (6/128) Starry Black,169990,139990,13999
06/02/2023,Apple,Телефон сотовый APPLE iPhone 13 Pro 128GB Sierra Blue,634990,609990,6099
06/02/2023,Samsung,Телефон сотовый SAMSUNG SM A 032 Galaxy A03 Core 32GB (NEW) FLGDS (Green),59890,49890,498
06/02/2023,Xiaomi,Телефон сотовый XIAOMI Redmi Note 11 Pro 8/128GB Star Blue,159990,159990,3199
06/02/2023,Apple,Телефон сотовый APPLE iPhone 14 128GB (Starlight),559990,479990,24000
06/02/2023,Samsung,Телефон сотовый SAMSUNG SM A 736 Galaxy A73 5G 8/256GB BZAHS (Gray),339890,239890,23989
06/02/2023,Xiaomi,Телефон сотовый XIAOMI Redmi Note 11S 6/128GB Twilight Blue,139990,119990,1199
06/02/2023,Apple,Телефон сотовый APPLE iPhone 12 128GB (White),449990,414990,4149
06/02/2023,Vivo,Телефон сотовый VIVO Y21 4/64GB Metallic Blue (V2111),99990,79990,7999,"['Подарок VIVO 4813635 Plactic Mobile Phone Holder Держатель Смартфона', 'Подарок VIVO 4813636 Bluetooth Speaker Динамик Bluetooth', 'Подарок VIVO 4813637 Gift Box Подарочная Коробка']","[0, 0, 0]"
06/02/2023,Vivo,Телефон сотовый VIVO V25 Pro 5G 12/256GB Surfing Blue (V2158),329990,319990,31999,"['Смарт часы Zeblaze Btalk Smart Watch 44 mm Green / Зеленый', 'Смарт часы Zeblaze Btalk Smart Watch 44 mm Orange / Оранжевый', 'Подарок VIVO 4813635 Plactic Mobile Phone Holder Держатель Смартфона', 'Подарок VIVO 4813636 Bluetooth Speaker Динамик Bluetooth', 'Подарок VIVO 4813637 Gift Box Подарочная Коробка']","[29990, 29990, 0, 0, 0]"
06/02/2023,Samsung,Телефон сотовый SAMSUNG SM F 936 Galaxy Z Fold 4 5G 256GB (Gray),999890,999890,19997,"['Смарт часы SAMSUNG Galaxy Watch4 Classic 46mm Black (SM-R890NZKACIS)', 'Наушники для телефона SAMSUNG Galaxy Buds2 Pro (purple)', 'Наушники для телефона SAMSUNG Galaxy Buds2 Pro (gray)', 'Наушники для телефона SAMSUNG Galaxy Buds2 Pro (white)']","[219890, 119990, 119990, 119990]"
06/02/2023,Apple,Телефон сотовый APPLE iPhone 11 128GB (Green) ECO,339990,309990,15500
06/02/2023,Apple,Телефон сотовый APPLE iPhone 14 Pro 128GB (Gold),699990,659990,33000
06/02/2023,Vivo,Телефон сотовый VIVO Y22 4/64GB Starlit Blue (V2207),99990,89990,8999,"['Подарок VIVO 4813635 Plactic Mobile Phone Holder Держатель Смартфона', 'Подарок VIVO 4813636 Bluetooth Speaker Динамик Bluetooth', 'Подарок VIVO 4813637 Gift Box Подарочная Коробка']","[0, 0, 0]"
06/02/2023,Apple,Телефон сотовый APPLE iPhone 13 Pro 256GB Alpine Green,709990,679990,6799
06/02/2023,OPPO,Телефон сотовый OPPO RENO 7 5G (8/256GB) Startrails Blue,259990,259990,25999
06/02/2023,HONOR,Телефон сотовый HONOR X8 (6/128GB) Ocean Blue,149990,139990,13999
06/02/2023,Realme,Телефон сотовый REALME C35 (4/128GB) Black,129990,99990,9999
06/02/2023,Apple,Телефон сотовый APPLE iPhone 11 64GB (Green) ECO,299990,269990,13500
06/02/2023,Xiaomi,Телефон сотовый XIAOMI 12 12/256GB Blue,459990,399990,39999
